Method,Month,Split,N,Start,End
H30,2020-01,Train,2035,2012-06-05,2019-12-31
H30,2020-01,Test,24,2020-01-01,2020-01-31
H30,2020-02,Train,2059,2012-06-05,2020-01-31
H30,2020-02,Test,21,2020-02-03,2020-02-28
H30,2020-03,Train,2080,2012-06-05,2020-02-28
H30,2020-03,Test,22,2020-03-02,2020-03-31
H30,2020-04,Train,2102,2012-06-05,2020-03-31
H30,2020-04,Test,23,2020-04-01,2020-04-30
H30,2020-05,Train,2125,2012-06-05,2020-04-30
H30,2020-05,Test,23,2020-05-01,2020-05-29
H30,2020-06,Train,2148,2012-06-05,2020-05-29
H30,2020-06,Test,23,2020-06-01,2020-06-30
H30,2020-07,Train,2171,2012-06-05,2020-06-30
H30,2020-07,Test,23,2020-07-01,2020-07-31
H30,2020-08,Train,2194,2012-06-05,2020-07-31
H30,2020-08,Test,21,2020-08-03,2020-08-31
H30,2020-09,Train,2215,2012-06-05,2020-08-31
H30,2020-09,Test,24,2020-09-01,2020-09-30
H30,2020-10,Train,2239,2012-06-05,2020-09-30
H30,2020-10,Test,23,2020-10-01,2020-10-30
H30,2020-11,Train,2262,2012-06-05,2020-10-30
H30,2020-11,Test,21,2020-11-02,2020-11-30
H30,2020-12,Train,2283,2012-06-05,2020-11-30
H30,2020-12,Test,23,2020-12-01,2020-12-31
H120,2020-01,Train,2035,2012-06-05,2019-12-31
H120,2020-01,Test,24,2020-01-01,2020-01-31
H120,2020-02,Train,2059,2012-06-05,2020-01-31
H120,2020-02,Test,21,2020-02-03,2020-02-28
H120,2020-03,Train,2080,2012-06-05,2020-02-28
H120,2020-03,Test,22,2020-03-02,2020-03-31
H120,2020-04,Train,2102,2012-06-05,2020-03-31
H120,2020-04,Test,23,2020-04-01,2020-04-30
H120,2020-05,Train,2125,2012-06-05,2020-04-30
H120,2020-05,Test,23,2020-05-01,2020-05-29
H120,2020-06,Train,2148,2012-06-05,2020-05-29
H120,2020-06,Test,23,2020-06-01,2020-06-30
H120,2020-07,Train,2171,2012-06-05,2020-06-30
H120,2020-07,Test,23,2020-07-01,2020-07-31
H120,2020-08,Train,2194,2012-06-05,2020-07-31
H120,2020-08,Test,21,2020-08-03,2020-08-31
H120,2020-09,Train,2215,2012-06-05,2020-08-31
H120,2020-09,Test,24,2020-09-01,2020-09-30
H120,2020-10,Train,2239,2012-06-05,2020-09-30
H120,2020-10,Test,23,2020-10-01,2020-10-30
H120,2020-11,Train,2262,2012-06-05,2020-10-30
H120,2020-11,Test,21,2020-11-02,2020-11-30
H120,2020-12,Train,2283,2012-06-05,2020-11-30
H120,2020-12,Test,23,2020-12-01,2020-12-31
H240,2020-01,Train,2035,2012-06-05,2019-12-31
H240,2020-01,Test,24,2020-01-01,2020-01-31
H240,2020-02,Train,2059,2012-06-05,2020-01-31
H240,2020-02,Test,21,2020-02-03,2020-02-28
H240,2020-03,Train,2080,2012-06-05,2020-02-28
H240,2020-03,Test,22,2020-03-02,2020-03-31
H240,2020-04,Train,2102,2012-06-05,2020-03-31
H240,2020-04,Test,23,2020-04-01,2020-04-30
H240,2020-05,Train,2125,2012-06-05,2020-04-30
H240,2020-05,Test,23,2020-05-01,2020-05-29
H240,2020-06,Train,2148,2012-06-05,2020-05-29
H240,2020-06,Test,23,2020-06-01,2020-06-30
H240,2020-07,Train,2171,2012-06-05,2020-06-30
H240,2020-07,Test,23,2020-07-01,2020-07-31
H240,2020-08,Train,2194,2012-06-05,2020-07-31
H240,2020-08,Test,21,2020-08-03,2020-08-31
H240,2020-09,Train,2215,2012-06-05,2020-08-31
H240,2020-09,Test,24,2020-09-01,2020-09-30
H240,2020-10,Train,2239,2012-06-05,2020-09-30
H240,2020-10,Test,23,2020-10-01,2020-10-30
H240,2020-11,Train,2262,2012-06-05,2020-10-30
H240,2020-11,Test,21,2020-11-02,2020-11-30
H240,2020-12,Train,2283,2012-06-05,2020-11-30
H240,2020-12,Test,23,2020-12-01,2020-12-31
