Month,Split,N,Start,End
2020-01,Refit_train,2035,2012-06-05,2019-12-31
2020-01,Test,24,2020-01-01,2020-01-31
2020-02,Refit_train,2059,2012-06-05,2020-01-31
2020-02,Test,21,2020-02-03,2020-02-28
2020-03,Refit_train,2080,2012-06-05,2020-02-28
2020-03,Test,22,2020-03-02,2020-03-31
2020-04,Refit_train,2102,2012-06-05,2020-03-31
2020-04,Test,23,2020-04-01,2020-04-30
2020-05,Refit_train,2125,2012-06-05,2020-04-30
2020-05,Test,23,2020-05-01,2020-05-29
2020-06,Refit_train,2148,2012-06-05,2020-05-29
2020-06,Test,23,2020-06-01,2020-06-30
2020-07,Refit_train,2171,2012-06-05,2020-06-30
2020-07,Test,23,2020-07-01,2020-07-31
2020-08,Refit_train,2194,2012-06-05,2020-07-31
2020-08,Test,21,2020-08-03,2020-08-31
2020-09,Refit_train,2215,2012-06-05,2020-08-31
2020-09,Test,24,2020-09-01,2020-09-30
2020-10,Refit_train,2239,2012-06-05,2020-09-30
2020-10,Test,23,2020-10-01,2020-10-30
2020-11,Refit_train,2262,2012-06-05,2020-10-30
2020-11,Test,21,2020-11-02,2020-11-30
2020-12,Refit_train,2283,2012-06-05,2020-11-30
2020-12,Test,23,2020-12-01,2020-12-31
